Fichiers mnist;;;
Images traitees;k = 3;k =5;k = 10
1000;96,2;96,1;95,4
2000;95,8;95,7;95,1
3000;95,5;95,4;95,1
4000;95,7;95,5;95,2
5000;95,7;95,5;95,1
6000;96,1;95,9;95,6
7000;96,4;96,2;95,9
8000;96,8;96,6;96,3
9000;97;96,8;96,6
10000;97,1;96,9;96,7
Images traitees;Precision;k : 5;
1000;96,1;;
2000;95,7;;
3000;95,4;;
4000;95,5;;
5000;95,5;;
6000;95,9;;
7000;96,2;;
8000;96,6;;
9000;96,8;;
10000;96,9;;
Images traitees;Precision;k : 10;
1000;95,4;;
2000;95,1;;
3000;95,1;;
4000;95,2;;
5000;95,1;;
6000;95,6;;
7000;95,9;;
8000;96,3;;
9000;96,6;;
10000;96,7;;
Fichiers fashion;;;
Images traitees;Precision;k : 3;
1000;85,2;;
2000;85,3;;
3000;85,6;;
4000;85,4;;
5000;85,6;;
6000;85,3;;
7000;85,4;;
8000;85,5;;
9000;85,6;;
10000;85,4;;
Images traitees;Precision;k : 5;
1000;86;;
2000;85,9;;
3000;85,9;;
4000;85,5;;
5000;85,8;;
6000;85,6;;
7000;85,6;;
8000;85,7;;
9000;85,6;;
10000;85,5;;
Images traitees;Precision;k : 10;
1000;85,6;;
2000;85,4;;
3000;85,5;;
4000;84,9;;
5000;85,2;;
6000;84,9;;
7000;84,8;;
8000;85;;
9000;85,1;;
10000;85,2;;
